Code	The optimal value	Duality Gap (%)	The optimal solution
331	123	35.33	4, 16, 21, 23, 24, 25, 28, 29, 51, 58, 69, 79, 85, 91, 92
431	132	34.07	20, 22, 32, 37, 49, 55, 60, 62, 69, 74, 80, 84, 87, 88, 92
531	135	32.55	11, 13, 19, 23, 30, 32, 33, 34, 35, 42, 59, 73, 74, 79, 90
631	140	42.43	1, 7, 17, 20, 24, 33, 77, 80, 83, 84, 85, 92, 95, 99, 100
731	130	33.18	6, 12, 33, 34, 37, 38, 45, 50, 60, 69, 71, 74, 76, 77, 91
831	138	32.34	4, 17, 25, 27, 46, 47, 54, 56, 63, 82, 84, 89, 91, 95, 100
931	172	61.06	6, 12, 18, 19, 24, 28, 35, 37, 51, 53, 55, 61, 94, 100
1031	165	55.18	4, 16, 17, 19, 21, 30, 36, 70, 74, 82, 84, 85, 86, 100
1131	162	44.11	3, 7, 9, 22, 33, 35, 44, 72, 84, 86, 91, 96, 97, 99
1231	136	34.09	1, 2, 4, 10, 11, 26, 31, 37, 41, 59, 61, 73, 75, 86, 87
1331	169	45.77	5, 6, 7, 11, 13, 17, 26, 47, 64, 67, 79, 83, 86, 92
1431	157	47.51	10, 20, 32, 34, 41, 42, 54, 64, 65, 72, 73, 81, 91, 100
1531	160	47.61	7, 14, 19, 26, 44, 45, 48, 63, 65, 72, 78, 95, 96, 97
1631	140	24.53	4, 5, 11, 12, 15, 29, 37, 41, 60, 63, 73, 77, 79, 98, 99
1731	174	52.42	12, 16, 19, 24, 28, 42, 45, 50, 57, 59, 87, 94, 96, 98
1831	134	35.97	5, 9, 13, 17, 23, 26, 32, 42, 54, 58, 89, 90, 94, 95, 97
1931	136	33.44	17, 20, 30, 32, 34, 38, 39, 59, 63, 65, 78, 81, 84, 92, 98
2031	131	37.92	7, 8, 9, 22, 32, 42, 58, 62, 67, 69, 71, 77, 83, 84, 100
2131	126	40.35	4, 5, 10, 11, 12, 14, 17, 25, 54, 55, 60, 74, 92, 94, 97
2231	179	51.60	7, 8, 15, 28, 49, 55, 58, 62, 67, 71, 72, 89, 90, 92
2331	134	29.93	4, 7, 8, 15, 21, 23, 50, 52, 64, 73, 74, 84, 85, 90, 93
2431	137	38.67	18, 25, 29, 30, 42, 48, 52, 54, 55, 68, 71, 72, 73, 78, 97
2531	124	35.48	2, 3, 9, 10, 23, 44, 48, 60, 69, 74, 76, 85, 91, 93, 98
2631	131	31.26	10, 17, 20, 35, 40, 44, 48, 59, 63, 77, 82, 83, 93, 95, 96
2731	159	47.60	3, 10, 12, 20, 23, 25, 35, 38, 43, 45, 56, 57, 69, 94
2831	151	47.37	7, 10, 17, 19, 26, 28, 29, 31, 34, 36, 48, 51, 67, 72
2931	132	33.53	13, 27, 33, 36, 39, 43, 45, 50, 51, 52, 56, 64, 71, 79, 96
3031	144	36.73	1, 15, 24, 25, 26, 27, 33, 39, 44, 49, 54, 65, 72, 76, 89
3131	158	40.71	1, 12, 15, 18, 25, 34, 36, 39, 78, 82, 95, 96, 98, 100
3231	125	37.67	5, 10, 18, 20, 28, 42, 52, 64, 67, 76, 79, 89, 91, 92, 96
