Code	The optimal value	"DualityGap (%)"	The optimal solution
333	147	39.73	7, 18, 24, 26, 28, 29, 34, 50, 53, 57, 66, 75, 80, 92
433	145	58.77	29, 34, 40, 42, 47, 50, 51, 58, 59, 68, 74, 76, 88, 90
533	142	59.56	5, 17, 21, 33, 45, 48, 52, 55, 60, 63, 81, 90, 97, 99
633	144	41.91	6, 15, 21, 29, 32, 33, 38, 42, 54, 65, 70, 71, 73, 88
733	137	41.52	3, 33, 36, 38, 42, 49, 54, 55, 56, 65, 76, 91, 94, 96
833	144	34.83	11, 17, 25, 39, 45, 46, 51, 55, 60, 74, 83, 85, 86, 96
933	130	37.65	5, 12, 20, 22, 25, 33, 47, 57, 67, 80, 84, 93, 97, 98
1033	138	43.06	1, 7, 8, 12, 14, 17, 28, 32, 44, 49, 52, 63, 74, 100
1133	147	43.36	3, 13, 14, 18, 23, 28, 34, 37, 38, 59, 72, 83, 89, 91
1233	142	41.17	1, 3, 9, 14, 25, 45, 48, 52, 72, 73, 82, 88, 90, 94
1333	140	44.39	1, 2, 4, 23, 26, 42, 49, 55, 66, 70, 71, 86, 91, 97
1433	152	44.20	17, 22, 25, 39, 49, 53, 55, 65, 69, 72, 74, 79, 80, 83
1533	133	41.94	2, 5, 19, 22, 33, 35, 38, 51, 52, 65, 66, 67, 73, 91
1633	141	45.24	23, 24, 35, 37, 42, 51, 52, 71, 82, 88, 90, 96, 97, 100
1733	134	43.98	8, 32, 44, 52, 53, 55, 57, 65, 71, 79, 82, 89, 95, 99
1833	139	45.56	5, 8, 12, 18, 31, 34, 41, 51, 54, 57, 74, 76, 83, 90
1933	137	38.16	6, 13, 16, 22, 28, 58, 64, 65, 69, 76, 77, 87, 91, 92
2033	140	41.56	5, 11, 24, 27, 28, 33, 57, 61, 68, 73, 75, 84, 94, 98
2133	138	36.30	3, 10, 12, 15, 26, 28, 52, 57, 81, 91, 95, 97, 98, 100
2233	121	40.94	6, 8, 14, 17, 25, 31, 32, 33, 55, 63, 67, 75, 85, 89
2333	133	42.29	7, 8, 13, 21, 22, 25, 27, 42, 61, 69, 80, 88, 92, 95
2433	139	43.92	3, 12, 21, 29, 38, 62, 67, 74, 75, 77, 78, 85, 88, 90
2533	131	42.17	5, 8, 11, 27, 32, 45, 56, 62, 66, 68, 69, 71, 82, 85
2633	132	40.18	9, 10, 24, 27, 28, 39, 51, 55, 66, 67, 69, 71, 95, 99
2733	139	37.31	2, 4, 19, 31, 32, 35, 38, 39, 40, 50, 57, 71, 91, 92
2833	137	41.92	18, 21, 31, 42, 50, 54, 56, 57, 58, 59, 62, 73, 81, 99
2933	124	37.73	5, 6, 13, 23, 24, 31, 45, 53, 56, 57, 59, 61, 70, 85
3033	137	39.29	17, 18, 20, 35, 41, 58, 64, 65, 68, 75, 79, 90, 92, 96
3133	141	47.59	9, 22, 39, 45, 66, 70, 73, 75, 77, 84, 85, 90, 91, 97
3233	129	40.96	3, 6, 22, 25, 33, 60, 62, 68, 72, 80, 84, 86, 93, 95
