Chessboard matrixes  Code  3234
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           1
     1        2           0
     1       12           1
     1       13           0
     1       14           0
     1       24           4
     1      133           4
     1      134           1
     1      144           0
     2        1           4
     2        2           3
     2        3           1
     2       13           1
     2       14           1
     2       15           0
     2      133           3
     2      134           1
     2      135           2
     3        2           0
     3        3           4
     3        4           0
     3       14           3
     3       15           0
     3       16           2
     3      134           1
     3      135           0
     3      136           0
     4        3           3
     4        4           2
     4        5           0
     4       15           2
     4       16           3
     4       17           1
     4      135           1
     4      136           2
     4      137           1
     5        4           0
     5        5           3
     5        6           3
     5       16           1
     5       17           0
     5       18           1
     5      136           1
     5      137           1
     5      138           3
     6        5           4
     6        6           2
     6        7           0
     6       17           2
     6       18           1
     6       19           1
     6      137           0
     6      138           2
     6      139           1
     7        6           0
     7        7           0
     7        8           2
     7       18           0
     7       19           0
     7       20           4
     7      138           4
     7      139           1
     7      140           3
     8        7           3
     8        8           0
     8        9           0
     8       19           1
     8       20           2
     8       21           4
     8      139           1
     8      140           2
     8      141           2
     9        8           1
     9        9           0
     9       10           0
     9       20           1
     9       21           4
     9       22           2
     9      140           4
     9      141           4
     9      142           3
    10        9           4
    10       10           3
    10       11           1
    10       21           2
    10       22           0
    10       23           3
    10      141           0
    10      142           1
    10      143           1
    11       10           1
    11       11           4
    11       12           2
    11       22           2
    11       23           3
    11       24           1
    11      142           1
    11      143           4
    11      144           3
    12        1           0
    12       11           3
    12       12           0
    12       13           1
    12       23           2
    12       24           4
    12      133           1
    12      143           1
    12      144           3
    13        1           3
    13        2           3
    13       12           2
    13       13           1
    13       14           0
    13       24           1
    13       25           1
    13       26           4
    13       36           0
    14        1           0
    14        2           0
    14        3           4
    14       13           0
    14       14           4
    14       15           3
    14       25           0
    14       26           2
    14       27           0
    15        2           1
    15        3           4
    15        4           1
    15       14           2
    15       15           2
    15       16           1
    15       26           2
    15       27           4
    15       28           1
    16        3           4
    16        4           0
    16        5           2
    16       15           1
    16       16           0
    16       17           1
    16       27           1
    16       28           3
    16       29           2
    17        4           3
    17        5           2
    17        6           2
    17       16           3
    17       17           1
    17       18           2
    17       28           1
    17       29           3
    17       30           2
    18        5           2
    18        6           3
    18        7           3
    18       17           4
    18       18           0
    18       19           1
    18       29           4
    18       30           0
    18       31           4
    19        6           0
    19        7           2
    19        8           0
    19       18           3
    19       19           2
    19       20           2
    19       30           2
    19       31           1
    19       32           2
    20        7           3
    20        8           1
    20        9           0
    20       19           1
    20       20           3
    20       21           0
    20       31           2
    20       32           4
    20       33           2
    21        8           1
    21        9           2
    21       10           0
    21       20           3
    21       21           1
    21       22           1
    21       32           0
    21       33           0
    21       34           3
    22        9           2
    22       10           3
    22       11           1
    22       21           3
    22       22           1
    22       23           3
    22       33           1
    22       34           3
    22       35           3
    23       10           4
    23       11           4
    23       12           2
    23       22           1
    23       23           2
    23       24           3
    23       34           2
    23       35           2
    23       36           1
    24        1           3
    24       11           0
    24       12           2
    24       13           0
    24       23           1
    24       24           3
    24       25           4
    24       35           2
    24       36           2
    25       13           2
    25       14           3
    25       24           2
    25       25           3
    25       26           3
    25       36           3
    25       37           3
    25       38           3
    25       48           0
    26       13           3
    26       14           1
    26       15           0
    26       25           4
    26       26           1
    26       27           3
    26       37           2
    26       38           2
    26       39           0
    27       14           0
    27       15           2
    27       16           2
    27       26           0
    27       27           1
    27       28           4
    27       38           1
    27       39           2
    27       40           0
    28       15           2
    28       16           2
    28       17           1
    28       27           3
    28       28           3
    28       29           1
    28       39           0
    28       40           1
    28       41           0
    29       16           4
    29       17           2
    29       18           3
    29       28           1
    29       29           1
    29       30           1
    29       40           1
    29       41           2
    29       42           4
    30       17           2
    30       18           4
    30       19           2
    30       29           3
    30       30           1
    30       31           2
    30       41           3
    30       42           3
    30       43           1
    31       18           3
    31       19           0
    31       20           3
    31       30           3
    31       31           3
    31       32           3
    31       42           1
    31       43           0
    31       44           1
    32       19           4
    32       20           0
    32       21           0
    32       31           4
    32       32           3
