Chessboard matrixes  Code   734
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           2
     1        2           1
     1       12           2
     1       13           0
     1       14           0
     1       24           3
     1      133           1
     1      134           4
     1      144           1
     2        1           4
     2        2           0
     2        3           1
     2       13           1
     2       14           3
     2       15           3
     2      133           2
     2      134           4
     2      135           0
     3        2           0
     3        3           2
     3        4           2
     3       14           1
     3       15           2
     3       16           4
     3      134           2
     3      135           3
     3      136           1
     4        3           4
     4        4           0
     4        5           4
     4       15           1
     4       16           3
     4       17           4
     4      135           3
     4      136           0
     4      137           3
     5        4           3
     5        5           0
     5        6           3
     5       16           4
     5       17           0
     5       18           2
     5      136           0
     5      137           0
     5      138           4
     6        5           4
     6        6           2
     6        7           4
     6       17           3
     6       18           1
     6       19           2
     6      137           0
     6      138           4
     6      139           0
     7        6           3
     7        7           0
     7        8           0
     7       18           4
     7       19           1
     7       20           2
     7      138           4
     7      139           0
     7      140           0
     8        7           4
     8        8           4
     8        9           0
     8       19           2
     8       20           4
     8       21           2
     8      139           3
     8      140           4
     8      141           4
     9        8           4
     9        9           3
     9       10           2
     9       20           4
     9       21           4
     9       22           0
     9      140           2
     9      141           3
     9      142           3
    10        9           3
    10       10           0
    10       11           0
    10       21           0
    10       22           4
    10       23           2
    10      141           2
    10      142           3
    10      143           3
    11       10           1
    11       11           0
    11       12           0
    11       22           2
    11       23           0
    11       24           3
    11      142           3
    11      143           2
    11      144           4
    12        1           3
    12       11           3
    12       12           4
    12       13           3
    12       23           0
    12       24           4
    12      133           4
    12      143           2
    12      144           4
    13        1           4
    13        2           1
    13       12           1
    13       13           4
    13       14           2
    13       24           4
    13       25           3
    13       26           1
    13       36           4
    14        1           3
    14        2           2
    14        3           0
    14       13           4
    14       14           3
    14       15           2
    14       25           1
    14       26           0
    14       27           3
    15        2           4
    15        3           0
    15        4           1
    15       14           4
    15       15           2
    15       16           2
    15       26           0
    15       27           0
    15       28           0
    16        3           2
    16        4           1
    16        5           3
    16       15           2
    16       16           1
    16       17           0
    16       27           1
    16       28           1
    16       29           4
    17        4           4
    17        5           4
    17        6           4
    17       16           3
    17       17           4
    17       18           1
    17       28           1
    17       29           0
    17       30           3
    18        5           2
    18        6           2
    18        7           0
    18       17           1
    18       18           4
    18       19           1
    18       29           4
    18       30           1
    18       31           3
    19        6           2
    19        7           2
    19        8           2
    19       18           1
    19       19           0
    19       20           2
    19       30           0
    19       31           4
    19       32           2
    20        7           3
    20        8           2
    20        9           0
    20       19           1
    20       20           2
    20       21           3
    20       31           4
    20       32           1
    20       33           0
    21        8           3
    21        9           2
    21       10           0
    21       20           0
    21       21           3
    21       22           4
    21       32           0
    21       33           4
    21       34           4
    22        9           4
    22       10           3
    22       11           2
    22       21           4
    22       22           2
    22       23           2
    22       33           2
    22       34           2
    22       35           1
    23       10           2
    23       11           2
    23       12           2
    23       22           4
    23       23           0
    23       24           3
    23       34           4
    23       35           4
    23       36           4
    24        1           4
    24       11           2
    24       12           3
    24       13           3
    24       23           3
    24       24           0
    24       25           4
    24       35           4
    24       36           1
    25       13           4
    25       14           3
    25       24           4
    25       25           4
    25       26           2
    25       36           3
    25       37           0
    25       38           4
    25       48           4
    26       13           1
    26       14           1
    26       15           4
    26       25           1
    26       26           2
    26       27           3
    26       37           2
    26       38           0
    26       39           4
    27       14           1
    27       15           0
    27       16           1
    27       26           0
    27       27           1
    27       28           1
    27       38           3
    27       39           2
    27       40           2
    28       15           2
    28       16           0
    28       17           3
    28       27           2
    28       28           0
    28       29           3
    28       39           0
    28       40           0
    28       41           0
    29       16           3
    29       17           1
    29       18           1
    29       28           2
    29       29           4
    29       30           1
    29       40           2
    29       41           4
    29       42           2
    30       17           2
    30       18           3
    30       19           0
    30       29           0
    30       30           3
    30       31           1
    30       41           0
    30       42           1
    30       43           1
    31       18           0
    31       19           1
    31       20           2
    31       30           0
    31       31           2
    31       32           2
    31       42           3
    31       43           1
    31       44           1
    32       19           1
    32       20           0
    32       21           0
    32       31           0
    32       32           4
